latitude,longitude,brightness,acq_date,confidence,frp
-37.612,149.152,327.6,2020-01-04,41,67.1
-37.154,148.417,320.9,2020-01-04,0,39.4
-37.134,148.43,316.8,2020-01-04,50,39.1
-37.158,148.435,320,2020-01-04,0,41.3
-37.148,149.566,399,2020-01-04,100,778.8
-37.124,149.611,364.3,2020-01-04,100,311.4
-37.13,149.586,382.8,2020-01-04,100,527.3
-37.115,149.604,351,2020-01-04,100,201.9
-37.112,149.608,349.1,2020-01-04,100,182.5
-37.092,149.574,321.9,2020-01-04,26,58.5
-37.119,149.636,326.3,2020-01-04,78,68.1
-37.646,149.115,375.5,2020-01-04,100,358.4
-37.65,149.093,377.9,2020-01-04,100,384.7
-37.633,148.991,339,2020-01-04,100,104.6
-37.616,149.009,356.4,2020-01-04,100,198.2
-37.514,149.233,320.9,2020-01-04,69,57
-37.177,147.221,308.7,2020-01-04,24,19.9
-37.11,149.629,333.3,2020-01-04,95,101.3
-37.173,149.575,363.7,2020-01-04,100,302.6
-37.203,149.62,328.9,2020-01-04,98,0
-35.855,147.498,321.1,2020-01-04,0,34.9
-35.835,147.532,368.1,2020-01-04,100,246.9
-35.839,147.513,329.9,2020-01-04,84,58
-37.659,149.126,320.4,2020-01-04,0,41.1
-37.663,149.105,337.8,2020-01-04,89,102.7
-37.668,149.082,320.2,2020-01-04,69,46.3
-37.107,149.574,344.9,2020-01-04,99,167.2
-37.113,149.549,318.3,2020-01-04,29,55.1
-37.115,148.065,304.7,2020-01-04,22,19.7
-36.757,148.081,303.1,2020-01-04,13,18.7
-36.748,148.094,317.4,2020-01-04,67,42.3
-36.737,148.088,332.6,2020-01-04,75,79.9
-36.642,148.096,326.4,2020-01-04,42,50.8
-36.646,148.078,320.6,2020-01-04,25,32.4
-36.649,148.059,316.9,2020-01-04,84,19.3
-36.63,148.095,382.5,2020-01-04,100,392.8
-36.633,148.076,374.9,2020-01-04,100,316.2
-36.638,148.055,343.9,2020-01-04,100,109.8
-37.728,148.985,321.3,2020-01-04,88,47.8
-37.733,148.963,319.6,2020-01-04,18,40.7
-37.716,148.981,316.7,2020-01-04,87,39.6
-37.704,148.976,318.5,2020-01-04,80,44
-37.702,148.969,314.6,2020-01-04,80,35.9
-37.638,148.969,328.8,2020-01-04,62,67.6
-37.647,148.926,318.2,2020-01-04,64,41.3
-37.656,148.883,330.3,2020-01-04,84,73.8
-37.66,148.861,339.9,2020-01-04,90,110.5
-37.635,148.922,323,2020-01-04,70,50.4
-37.639,148.9,326.4,2020-01-04,100,60
-37.609,148.982,319.9,2020-01-04,55,40.5
-37.597,148.978,324.9,2020-01-04,94,58.7
-37.62,148.981,324.4,2020-01-04,60,51.6
-37.633,148.916,323.3,2020-01-04,51,49.1
-37.638,148.894,321.7,2020-01-04,90,44.4
-37.608,148.976,315.6,2020-01-04,21,33.1
-37.595,148.972,317.8,2020-01-04,81,41.6
-37.585,148.9,310.4,2020-01-04,71,27.7
-37.525,148.553,325.4,2020-01-04,19,51.3
-37.513,148.549,324.5,2020-01-04,41,46.7
-37.522,148.546,323.5,2020-01-04,0,44.4
-37.506,148.563,320.1,2020-01-04,37,33.7
-37.541,148.536,309.4,2020-01-04,55,24.6
-36.05,148.387,321.9,2020-01-04,33,50.7
-36.055,148.364,342.6,2020-01-04,100,126.2
-36.049,148.381,320.9,2020-01-04,24,46.4
-36.054,148.358,347.4,2020-01-04,100,149.3
-36.019,148.28,318.7,2020-01-04,33,42
-36.007,148.275,319.9,2020-01-04,73,47.9
-35.994,148.273,317.4,2020-01-04,56,40.9
-35.981,148.274,314.8,2020-01-04,11,32.7
-35.968,148.273,323.9,2020-01-04,76,55
-35.992,148.268,317.4,2020-01-04,40,38.7
-35.979,148.268,316.8,2020-01-04,22,36.5
-35.967,148.266,319.1,2020-01-04,47,42.9
-37.647,148.741,344.3,2020-01-04,100,131.4
-37.652,148.72,322.5,2020-01-04,100,54.2
-37.657,148.739,321.5,2020-01-04,100,51.6
-37.645,148.735,328.9,2020-01-04,90,69.5
-37.649,148.713,313,2020-01-04,71,31.5
-37.637,148.709,310.3,2020-01-04,40,25.7
-37.621,148.726,328.7,2020-01-04,85,68.8
-37.625,148.704,308.5,2020-01-04,49,24.7
-37.593,148.737,319.5,2020-01-04,38,43.7
-36.626,148.115,342.2,2020-01-04,100,111.7
-36.573,148.189,316,2020-01-04,8,30.7
-36.577,148.169,336.8,2020-01-04,100,90.6
-36.55,148.238,302.5,2020-01-04,26,16.3
-36.561,148.184,348.1,2020-01-04,100,142.5
-36.565,148.164,353.9,2020-01-04,100,173.9
-36.569,148.181,345,2020-01-04,100,129
-36.573,148.161,331.6,2020-01-04,100,74.7
-36.558,148.176,338,2020-01-04,100,98.5
-36.561,148.157,322,2020-01-04,100,47.3
-36.55,148.153,317.6,2020-01-04,80,35.6
-36.546,148.108,301,2020-01-04,13,11.9
-37.061,147.042,325.5,2020-01-04,64,40.9
-37.046,147.056,335.9,2020-01-04,100,70.6
-37.05,147.038,371.4,2020-01-04,100,232.2
-34.372,150.053,316.5,2020-01-04,61,54.3
-34.357,150.05,315.6,2020-01-04,30,47.1
-34.371,150.047,318.3,2020-01-04,60,60.7
-35.93,148.008,319.5,2020-01-04,31,44.8
